Release 13.4 - par O.87xd (lin64)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Wed Jan 15 16:41:38 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       bpm_dsp_example_map.ncd
OUTPUT FILE:      bpm_dsp_example_pad.txt
PART TYPE:        xc6vlx240t
SPEED GRADE:      -1
PACKAGE:          ff1156

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name     |Pin Usage|Pin Name                  |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AF24      |                |IOBS     |IO_L13N_D0_FS0_24         |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AF25      |                |IOBM     |IO_L13P_D1_FS1_24         |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AF26      |                |IOBM     |IO_L11P_SRCC_12           |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AF27      |                |         |VCCO_12                   |             |           |12            |          |         |           |         |any******|          |           |                |
|AF28      |                |IOBM     |IO_L5P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AF29      |                |IOBS     |IO_L5N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AF30      |                |IOBM     |IO_L10P_MRCC_12           |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AF31      |                |IOBS     |IO_L18N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AF32      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AF33      |                |IOBS     |IO_L10N_MRCC_13           |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AF34      |                |IOBS     |IO_L8N_SRCC_13            |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AG1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG2       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AG3       |                |IPAD     |MGTRXP0_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AG4       |                |IPAD     |MGTRXN0_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AG5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AG7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG8       |                |IOBM     |IO_L18P_A17_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AG9       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG10      |                |IOBS     |IO_L6N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AG11      |                |IOBM     |IO_L6P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AG12      |                |IOBM     |IO_L16P_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AG13      |                |IOBS     |IO_L12N_VRP_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AG14      |                |         |VCCO_33                   |             |           |33            |          |         |           |         |any******|          |           |                |
|AG15      |                |IOBM     |IO_L0P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AG16      |                |IOBM     |IO_L4P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AG17      |                |IOBS     |IO_L8N_SRCC_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AG18      |                |IOBS     |IO_L12N_VRP_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AG19      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG20      |                |IOBM     |IO_L18P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AG21      |                |IOBS     |IO_L18N_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AG22      |                |IOBM     |IO_L2P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AG23      |                |IOBS     |IO_L15N_RS1_24            |UNUSED       |           |24            |          |         |           |         |         |          |           |                |
|AG24      |                |         |VCCO_24                   |             |           |24            |          |         |           |         |any******|          |           |                |
|AG25      |                |IOBM     |IO_L2P_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AG26      |                |IOBS     |IO_L2N_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AG27      |                |IOBM     |IO_L9P_MRCC_12            |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AG28      |                |IOBS     |IO_L9N_MRCC_12            |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AG29      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AG30      |                |IOBS     |IO_L10N_MRCC_12           |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AG31      |                |IOBM     |IO_L18P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AG32      |                |IOBS     |IO_L16N_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AG33      |                |IOBM     |IO_L16P_13                |UNUSED       |           |13            |          |         |           |         |         |          |           |                |
|AG34      |                |         |VCCO_12                   |             |           |12            |          |         |           |         |any******|          |           |                |
|AH1       |                |OPAD     |MGTTXP0_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AH2       |                |OPAD     |MGTTXN0_113               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AH3       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AH4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AH5       |                |IPAD     |MGTREFCLK1N_112           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AH6       |                |IPAD     |MGTREFCLK1P_112           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AH7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AH8       |                |IOBS     |IO_L18N_A16_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AH9       |                |IOBM     |IO_L11P_SRCC_34           |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AH10      |                |IOBS     |IO_L8N_SRCC_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AH11      |                |         |VCCO_33                   |             |           |33            |          |         |           |         |any******|          |           |                |
|AH12      |                |IOBS     |IO_L16N_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AH13      |                |IOBM     |IO_L18P_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AH14      |                |IOBS     |IO_L18N_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AH15      |                |IOBS     |IO_L2N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AH16      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AH17      |                |IOBM     |IO_L8P_SRCC_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AH18      |                |IOBM     |IO_L12P_VRN_32            |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AH19      |                |IOBS     |IO_L14N_VREF_32           |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AH20      |                |IOBS     |IO_L12N_VRP_22            |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AH21      |                |         |VCCO_22                   |             |           |22            |          |         |           |         |any******|          |           |                |
|AH22      |                |IOBS     |IO_L2N_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AH23      |                |IOBM     |IO_L11P_SRCC_23           |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AH24      |                |IOBS     |IO_L11N_SRCC_23           |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AH25      |                |IOBM     |IO_L8P_SRCC_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AH26      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AH27      |                |IOBM     |IO_L0P_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AH28      |                |IOBS     |IO_L0N_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AH29      |                |IOBM     |IO_L7P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AH30      |                |IOBS     |IO_L7N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AH31      |                |         |VCCO_12                   |             |           |12            |          |         |           |         |any******|          |           |                |
|AH32      |                |IOBS     |IO_L2N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AH33      |                |IOBM     |IO_L2P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AH34      |                |IOBS     |IO_L4N_VREF_12            |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AJ1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ2       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ3       |                |IPAD     |MGTRXP3_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AJ4       |                |IPAD     |MGTRXN3_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AJ5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AJ7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ8       |                |         |VCCO_34                   |             |           |34            |          |         |           |         |any******|          |           |                |
|AJ9       |                |IOBS     |IO_L11N_SRCC_34           |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AJ10      |                |IOBM     |IO_L8P_SRCC_33            |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AJ11      |                |IOBM     |IO_L1P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AJ12      |                |IOBS     |IO_L3N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AJ13      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ14      |                |IOBS     |IO_L1N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AJ15      |                |IOBM     |IO_L2P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AJ16      |                |IOBS     |IO_L6N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AJ17      |                |IOBM     |IO_L6P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AJ18      |                |         |VCCO_32                   |             |           |32            |          |         |           |         |any******|          |           |                |
|AJ19      |                |IOBM     |IO_L14P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AJ20      |                |IOBM     |IO_L12P_VRN_22            |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AJ21      |                |IOBS     |IO_L16N_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AJ22      |                |IOBS     |IO_L4N_VREF_22            |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AJ23      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ24      |                |IOBM     |IO_L14P_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AJ25      |                |IOBS     |IO_L8N_SRCC_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AJ26      |                |IOBS     |IO_L12N_VRP_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AJ27      |                |IOBS     |IO_L10N_MRCC_23           |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AJ28      |                |         |VCCO_23                   |             |           |23            |          |         |           |         |any******|          |           |                |
|AJ29      |                |IOBM     |IO_L13P_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AJ30      |                |IOBS     |IO_L13N_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AJ31      |                |IOBM     |IO_L12P_VRN_12            |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AJ32      |                |IOBS     |IO_L12N_VRP_12            |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AJ33      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AJ34      |                |IOBM     |IO_L4P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AK1       |                |OPAD     |MGTTXP3_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AK2       |                |OPAD     |MGTTXN3_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AK3       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK5       |                |IPAD     |MGTREFCLK0N_112           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AK6       |                |IPAD     |MGTREFCLK0P_112           |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AK7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK8       |                |IOBM     |IO_L13P_A01_D17_34        |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AK9       |                |IOBM     |IO_L15P_A23_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AK10      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK11      |                |IOBS     |IO_L1N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AK12      |                |IOBM     |IO_L3P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AK13      |                |IOBM     |IO_L17P_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AK14      |                |IOBM     |IO_L1P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AK15      |                |         |VCCO_32                   |             |           |32            |          |         |           |         |any******|          |           |                |
|AK16      |                |IOBS     |IO_L19N_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AK17      |                |IOBS     |IO_L17N_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AK18      |                |IOBM     |IO_L17P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AK19      |                |IOBM     |IO_L10P_MRCC_22           |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AK20      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK21      |                |IOBM     |IO_L16P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AK22      |                |IOBM     |IO_L4P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AK23      |                |IOBM     |IO_L18P_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK24      |                |IOBS     |IO_L14N_VREF_23           |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK25      |                |         |VCCO_23                   |             |           |23            |          |         |           |         |any******|          |           |                |
|AK26      |                |IOBM     |IO_L12P_VRN_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK27      |                |IOBM     |IO_L10P_MRCC_23           |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK28      |                |IOBS     |IO_L6N_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK29      |                |IOBS     |IO_L4N_VREF_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AK30      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AK31      |                |IOBS     |IO_L15N_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AK32      |                |IOBS     |IO_L14N_VREF_12           |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AK33      |                |IOBM     |IO_L14P_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AK34      |                |IOBS     |IO_L6N_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AL1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AL2       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AL3       |                |IPAD     |MGTRXP2_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AL4       |                |IPAD     |MGTRXN2_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AL5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AL6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AL7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AL8       |                |IOBS     |IO_L13N_A00_D16_34        |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AL9       |                |IOBS     |IO_L15N_A22_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|AL10      |                |IOBS     |IO_L5N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AL11      |                |IOBM     |IO_L7P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AL12      |                |         |VCCO_33                   |             |           |33            |          |         |           |         |any******|          |           |                |
|AL13      |                |IOBS     |IO_L17N_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AL14      |                |IOBS     |IO_L3N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AL15      |                |IOBM     |IO_L3P_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AL16      |                |IOBM     |IO_L19P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AL17      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AL18      |                |IOBS     |IO_L1N_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AL19      |                |IOBS     |IO_L10N_MRCC_22           |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AL20      |                |IOBS     |IO_L7N_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AL21      |                |IOBS     |IO_L13N_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AL22      |                |         |VCCO_22                   |             |           |22            |          |         |           |         |any******|          |           |                |
|AL23      |                |IOBS     |IO_L15N_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AL24      |                |IOBS     |IO_L18N_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AL25      |                |IOBS     |IO_L16N_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AL26      |                |IOBM     |IO_L13P_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AL27      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AL28      |                |IOBM     |IO_L6P_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AL29      |                |IOBM     |IO_L4P_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AL30      |                |IOBM     |IO_L19P_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AL31      |                |IOBM     |IO_L15P_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AL32      |                |         |VCCO_12                   |             |           |12            |          |         |           |         |any******|          |           |                |
|AL33      |                |IOBS     |IO_L16N_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AL34      |                |IOBM     |IO_L6P_12                 |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AM1       |                |OPAD     |MGTTXP2_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AM2       |                |OPAD     |MGTTXN2_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AM3       |                |         |MGTAVTT_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AM4       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AM5       |                |IPAD     |MGTRXP1_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AM6       |                |IPAD     |MGTRXN1_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AM7       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AM8       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AM9       |                |         |VCCO_34                   |             |           |34            |          |         |           |         |any******|          |           |                |
|AM10      |                |IOBM     |IO_L5P_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AM11      |                |IOBS     |IO_L7N_33                 |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AM12      |                |IOBM     |IO_L13P_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AM13      |                |IOBS     |IO_L15N_33                |UNUSED       |           |33            |          |         |           |         |         |          |           |                |
|AM14      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AM15      |                |IOBS     |IO_L5N_32                 |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AM16      |                |IOBS     |IO_L15N_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AM17      |                |IOBM     |IO_L15P_32                |UNUSED       |           |32            |          |         |           |         |         |          |           |                |
|AM18      |                |IOBM     |IO_L1P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AM19      |                |         |VCCO_22                   |             |           |22            |          |         |           |         |any******|          |           |                |
|AM20      |                |IOBM     |IO_L7P_22                 |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AM21      |                |IOBM     |IO_L13P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AM22      |                |IOBM     |IO_L17P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AM23      |                |IOBM     |IO_L15P_22                |UNUSED       |           |22            |          |         |           |         |         |          |           |                |
|AM24      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AM25      |                |IOBM     |IO_L16P_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AM26      |                |IOBS     |IO_L13N_23                |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AM27      |                |IOBS     |IO_L9N_MRCC_23            |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AM28      |                |IOBS     |IO_L7N_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AM29      |                |         |VCCO_23                   |             |           |23            |          |         |           |         |any******|          |           |                |
|AM30      |                |IOBS     |IO_L1N_23                 |UNUSED       |           |23            |          |         |           |         |         |          |           |                |
|AM31      |                |IOBS     |IO_L19N_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AM32      |                |IOBS     |IO_L17N_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AM33      |                |IOBM     |IO_L16P_12                |UNUSED       |           |12            |          |         |           |         |         |          |           |                |
|AM34      |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AN1       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AN2       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AN3       |                |OPAD     |MGTTXP1_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AN4       |                |OPAD     |MGTTXN1_112               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|AN5       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AN6       |                |         |MGTAVCC_S                 |             |           |              |          |         |           |         |         |          |           |                |
|AN7       |                |         |MGTRREF_115               |             |           |              |          |         |           |         |         |          |           |                |
|AN8       |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|AN9       |                |IOBM     |IO_L17P_A19_34            |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
